"an","location_name","caen_description","total_value","yoy_growth","market_share_pct","growth_rank"
2008, Ialomita,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,83000000,,0.69212808539026017300,1
2008, Prahova,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,331000000,,2.76017344896597731800,1
2008, Constanta,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,1083000000,,9.03102068045363575700,1
2008, Braila,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,99000000,,0.82555036691127418300,1
2008, Brasov,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,886000000,,7.38825883922615076700,1
2008, Buzau,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,179000000,,1.49266177451634422900,1
2008, Tulcea,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,93000000,,0.77551701134089392900,1
2008, Bihor,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,150000000,,1.25083388925950633800,1
2008, Covasna,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,36000000,,0.30020013342228152100,1
2008, Bistrita-Nasaud,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,145000000,,1.20913942628418946000,1
2008, Caras-Severin,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,104000000,,0.86724482988659106100,1
2008, Giurgiu,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,56000000,,0.46697798532354903300,1
2008, Ilfov,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,763000000,,6.36257505003335557000,1
2008, Bacau,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,141000000,,1.17578385590393595700,1
2008, Arges,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,422000000,,3.51901267511674449600,1
2008, Municipiul Bucuresti,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,2270000000,,18.92928619079386257500,1
2008, Teleorman,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,38000000,,0.31687791861240827200,1
2008, Olt,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,108000000,,0.90060040026684456300,1
2008, Satu Mare,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,69000000,,0.57538358905937291500,1
2008, Calarasi,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,472000000,,3.93595730486991327600,1
2008, Vrancea,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,78000000,,0.65043362241494329600,1
2008, Arad,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,219000000,,1.82621747831887925300,1
2008, Sibiu,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,169000000,,1.40927284856571047400,1
2008, Harghita,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,30000000,,0.25016677785190126800,1
2008, Mehedinti,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,375000000,,3.12708472314876584400,1
2008, Dambovita,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,161000000,,1.34256170780520346900,1
2008, Neamt,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,95000000,,0.79219479653102068000,1
2008, Cluj,F  CONSTRUCTII,5414000000,,5.85474522017475560200,1
2008, Tulcea,F  CONSTRUCTII,331000000,,0.35794618911670559700,1
2008, Galati,F  CONSTRUCTII,1656000000,,1.79081235400986244500,1
2008, Iasi,F  CONSTRUCTII,2492000000,,2.69486979842546933100,1
2008, Valcea,F  CONSTRUCTII,1179000000,,1.27498053464832598000,1
2008, Ilfov,F  CONSTRUCTII,2728000000,,2.95008218704040141900,1
2008, Bacau,F  CONSTRUCTII,2711000000,,2.93169824379271563300,1
2008, Municipiul Bucuresti,F  CONSTRUCTII,30165000000,,32.62068518037892551300,1
2008, Mehedinti,F  CONSTRUCTII,651000000,,0.70399688554373215700,1
2008, Botosani,F  CONSTRUCTII,657000000,,0.71048533610173890500,1
2008, Hunedoara,F  CONSTRUCTII,1234000000,,1.33445799809672117000,1
2008, Covasna,F  CONSTRUCTII,354000000,,0.38281858292239813100,1
2008, Gorj,F  CONSTRUCTII,665000000,,0.71913660351241456900,1
2008, Vaslui,F  CONSTRUCTII,436000000,,0.47149407388182368700,1
2008, Timis,F  CONSTRUCTII,4956000000,,5.35946016091357383900,1
2008, Giurgiu,F  CONSTRUCTII,1485000000,,1.60589151310667012700,1
2008, Dambovita,F  CONSTRUCTII,734000000,,0.79375378492949217100,1
2008, Mures,F  CONSTRUCTII,1459000000,,1.57777489402197421900,1
2008, Teleorman,F  CONSTRUCTII,417000000,,0.45094731378146898500,1
2008, Arad,F  CONSTRUCTII,1288000000,,1.39285405311878190200,1
2008, Ialomita,F  CONSTRUCTII,441000000,,0.47690111601349597700,1
2008, Arges,F  CONSTRUCTII,2904000000,,3.14041007007526602600,1
2008, Satu Mare,F  CONSTRUCTII,1312000000,,1.41880785535080889400,1
2008, Salaj,F  CONSTRUCTII,457000000,,0.49420365083484730500,1
2008, Suceava,F  CONSTRUCTII,1578000000,,1.70646249675577472100,1
2008, Harghita,F  CONSTRUCTII,1079000000,,1.16683969201488018000,1
2008, Maramures,F  CONSTRUCTII,1143000000,,1.23604983130028549200,1
2008, Vrancea,F  CONSTRUCTII,312000000,,0.33739942901635089500,1
2008, Caras-Severin,F  CONSTRUCTII,616000000,,0.66614759062202612700,1
2008, Neamt,F  CONSTRUCTII,877000000,,0.94839518989531966400,1
2008, Calarasi,F  CONSTRUCTII,499000000,,0.53962280474089454100,1
2008, Braila,F  CONSTRUCTII,790000000,,0.85431265680422181800,1
2008, Bistrita-Nasaud,F  CONSTRUCTII,691000000,,0.74725322259711047700,1
2008, Constanta,F  CONSTRUCTII,3741000000,,4.04554892291720737100,1
2008, Prahova,F  CONSTRUCTII,3325000000,,3.59568301756207284400,1
2008, Olt,F  CONSTRUCTII,934000000,,1.01003547019638377000,1
2008, Bihor,F  CONSTRUCTII,2094000000,,2.26446924474435504800,1
2008, Sibiu,F  CONSTRUCTII,1946000000,,2.10442079764685526400,1
2008, Buzau,F  CONSTRUCTII,1102000000,,1.19171208582057271400,1
2008, Alba,F  CONSTRUCTII,847000000,,0.91595293710528592400,1
2008, Dolj,F  CONSTRUCTII,1433000000,,1.54965827493727831100,1
2008, Brasov,F  CONSTRUCTII,3339000000,,3.61082273553075525600,1
2008, Arges,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,10837000000,,2.73866324323231506400,1
2008, Giurgiu,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,2592000000,,0.65503507672401593100,1
2008, Harghita,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,3280000000,,0.82890241190384732000,1
2008, Arad,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,7411000000,,1.87286456543274771000,1
2008, Vrancea,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,3273000000,,0.82713341285405252400,1
2008, Iasi,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,9846000000,,2.48822352061136607200,1
2008, Ialomita,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,2803000000,,0.70835776236783050000,1
2008, Bistrita-Nasaud,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,2645000000,,0.66842892667246224500,1
2008, Olt,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,2912000000,,0.73590360471463518200,1
2008, Cluj,G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR,16046000000,,4.05505125042961405500,1
