CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2017, Milioane lei RON, 1414
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2018, Milioane lei RON, 133
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2019, Milioane lei RON, 2195
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2020, Milioane lei RON, 1762
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2021, Milioane lei RON, 2369
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2022, Milioane lei RON, 5285
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2023, Milioane lei RON, 192
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2024, Milioane lei RON, 2876
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2008, Milioane lei RON, 1993
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2009, Milioane lei RON, 1840
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2010, Milioane lei RON, 2236
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2011, Milioane lei RON, 2775
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2012, Milioane lei RON, 2563
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2013, Milioane lei RON, 2093
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2014, Milioane lei RON, 2143
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2015, Milioane lei RON, 2114
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2016, Milioane lei RON, 1657
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2017, Milioane lei RON, 2276
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2018, Milioane lei RON, 4684
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2019, Milioane lei RON, 2693
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2020, Milioane lei RON, 2094
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2021, Milioane lei RON, 3291
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2022, Milioane lei RON, 6673
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2023, Milioane lei RON, 8283
B  INDUSTRIA EXTRACTIVA, Total, Sibiu, Anul 2024, Milioane lei RON, 4099
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2008, Milioane lei RON, 523
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2009, Milioane lei RON, 94
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2010, Milioane lei RON, 116
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2011, Milioane lei RON, 88
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2012, Milioane lei RON, 534
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2013, Milioane lei RON, 115
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2014, Milioane lei RON, 104
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2015, Milioane lei RON, 59
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2016, Milioane lei RON, 69
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2017, Milioane lei RON, 31
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2018, Milioane lei RON, 28
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2019, Milioane lei RON, 42
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2020, Milioane lei RON, 200
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2021, Milioane lei RON, 331
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2022, Milioane lei RON, 555
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2023, Milioane lei RON, 379
B  INDUSTRIA EXTRACTIVA, Total, Bacau, Anul 2024, Milioane lei RON, 161
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2008, Milioane lei RON, 12
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2009, Milioane lei RON, 19
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2010, Milioane lei RON, 9
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2011, Milioane lei RON, 12
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2012, Milioane lei RON, 16
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2013, Milioane lei RON, 21
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2014, Milioane lei RON, 28
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2015, Milioane lei RON, 32
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2016, Milioane lei RON, 37
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2017, Milioane lei RON, 34
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2018, Milioane lei RON, 39
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2019, Milioane lei RON, 59
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2020, Milioane lei RON, 80
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2021, Milioane lei RON, 89
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2022, Milioane lei RON, 112
